Club_Name,Logo,Country
spezia calcio,https://tmssl.akamaized.net/images/wappen/big/3522.png?lm=1504611067,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
fc empoli,https://tmssl.akamaized.net/images/wappen/big/749.png?lm=1626441481,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
genua cfc,https://tmssl.akamaized.net/images/wappen/big/252.png?lm=1438591281,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
giresunspor,https://tmssl.akamaized.net/images/wappen/big/11688.png?lm=1442160857,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
hellas verona,https://tmssl.akamaized.net/images/wappen/big/276.png?lm=1617228746,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
sampdoria genua,https://tmssl.akamaized.net/images/wappen/big/1038.png?lm=1520934353,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
besiktas istanbul,https://tmssl.akamaized.net/images/wappen/big/114.png?lm=1502974502,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
fenerbahce istanbul,https://tmssl.akamaized.net/images/wappen/big/36.png?lm=1406739123,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
venezia fc,https://tmssl.akamaized.net/images/wappen/big/607.png?lm=1504794638,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
kasimpasa,https://tmssl.akamaized.net/images/wappen/big/10484.png?lm=1408653850,https://tmssl.akamaized.net/images/flagge/medium/174.png?lm=1520611569
us sassuolo,https://tmssl.akamaized.net/images/wappen/big/6574.png?lm=1601389908,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
cagliari calcio,https://tmssl.akamaized.net/images/wappen/big/1390.png?lm=1626441409,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
